# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
33.1256 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 0.024583 1.14784e-17 -0.0153843 
33.5249 -0.00916441 -3.44677 2.73644 6.15438e-09 0 0 0.024583 1.14784e-17 -0.0153843 
33.9229 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
34.3198 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 0.024583 1.14784e-17 -0.0153843 
34.7156 -0.00916441 -3.44677 2.73644 6.15437e-09 0 0 0.024583 1.14784e-17 -0.0153843 
35.1101 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 0.024583 1.14784e-17 -0.0153843 
35.5034 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
35.8956 -0.00916441 -3.44677 2.73644 6.15438e-09 0 0 0.024583 1.14784e-17 -0.0153843 
36.2866 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 0.024583 1.14784e-17 -0.0153843 
36.6764 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
37.0651 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
37.4526 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
37.8389 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
38.2241 -0.00916441 -3.44677 2.73644 1.85e-08 0 0 0.024583 1.14784e-17 -0.0153843 
38.6081 -0.00916441 -3.44677 2.73644 2.46544e-08 0 0 0.024583 1.14784e-17 -0.0153843 
38.991 -0.00916441 -3.44677 2.73644 3.08272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
39.3728 -0.00916441 -3.44677 2.73644 3.08088e-08 0 0 0.024583 1.14784e-17 -0.0153843 
39.7534 -0.00916441 -3.44677 2.73644 2.46544e-08 0 0 0.024583 1.14784e-17 -0.0153843 
40.1328 -0.00916441 -3.44677 2.73644 3.08272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
40.5112 -0.00916441 -3.44677 2.73644 4.31545e-08 0 0 0.024583 1.14784e-17 -0.0153843 
40.8884 -0.00916441 -3.44677 2.73644 5.54817e-08 0 0 0.024583 1.14784e-17 -0.0153843 
41.2644 -0.00916441 -3.44677 2.73644 7.39817e-08 0 0 0.024583 1.14784e-17 -0.0153843 
41.6394 -0.00916441 -3.44677 2.73644 8.01176e-08 0 0 0.024583 1.14784e-17 -0.0153843 
42.0132 -0.00916441 -3.44677 2.73644 8.01361e-08 0 0 0.024583 1.14784e-17 -0.0153843 
42.3859 -0.00916441 -3.44677 2.73644 9.86361e-08 0 0 0.024583 1.14784e-17 -0.0153843 
42.7575 -0.00916441 -3.44677 2.73644 1.23291e-07 0 0 0.024583 1.14784e-17 -0.0153843 
43.128 -0.00916441 -3.44677 2.73644 1.47945e-07 0 0 0.024583 1.14784e-17 -0.0153843 
43.4973 -0.00916441 -3.44677 2.73644 1.78772e-07 0 0 0.024583 1.14784e-17 -0.0153843 
43.8656 -0.00916441 -3.44677 2.73644 2.15754e-07 0 0 0.024583 1.14784e-17 -0.0153843 
44.2328 -0.00916441 -3.44677 2.73644 2.65081e-07 0 0 0.024583 1.14784e-17 -0.0153843 
44.5989 -0.00916441 -3.44677 2.73644 3.20544e-07 0 0 0.024583 1.14784e-17 -0.0153843 
44.9638 -0.00916441 -3.44677 2.73644 3.69853e-07 0 0 0.024583 1.14784e-17 -0.0153843 
45.3277 -0.00916441 -3.44677 2.73644 4.43853e-07 0 0 0.024583 1.14784e-17 -0.0153843 
45.6905 -0.00916441 -3.44677 2.73644 5.36298e-07 0 0 0.024583 1.14784e-17 -0.0153843 
46.0522 -0.00916441 -3.44677 2.73644 6.28761e-07 0 0 0.024583 1.14784e-17 -0.0153843 
46.4128 -0.00916441 -3.44677 2.73644 7.5207e-07 0 0 0.024583 1.14784e-17 -0.0153843 
46.7724 -0.00916441 -3.44677 2.73644 9.0617e-07 0 0 0.024583 1.14784e-17 -0.0153843 
47.1309 -0.00916441 -3.44677 2.73644 1.0726e-06 0 0 0.024583 1.14784e-17 -0.0153843 
47.4883 -0.00916441 -3.44677 2.73644 1.28221e-06 0 0 0.024583 1.14784e-17 -0.0153843 
47.8446 -0.00916441 -3.44677 2.73644 1.53493e-06 0 0 0.024583 1.14784e-17 -0.0153843 
48.1999 -0.00916441 -3.44677 2.73644 1.83084e-06 0 0 0.024583 1.14784e-17 -0.0153843 
48.5541 -0.00916441 -3.44677 2.73644 2.18219e-06 0 0 0.024583 1.14784e-17 -0.0153843 
48.9072 -0.00916441 -3.44677 2.73644 2.60756e-06 0 0 0.024583 1.14784e-17 -0.0153843 
49.2593 -0.00916441 -3.44677 2.73644 3.10067e-06 0 0 0.024583 1.14784e-17 -0.0153843 
49.6104 -0.00916441 -3.44677 2.73644 3.67399e-06 0 0 0.024583 1.14784e-17 -0.0153843 
49.9604 -0.00916441 -3.44677 2.73644 4.37673e-06 0 0 0.024583 1.14784e-17 -0.0153843 
50.3093 -0.00916441 -3.44677 2.73644 5.20275e-06 0 0 0.024583 1.14784e-17 -0.0153843 
50.6572 -0.00916441 -3.44677 2.73644 6.17672e-06 0 0 0.024583 1.14784e-17 -0.0153843 
51.0041 -0.00916441 -3.44677 2.73644 7.32946e-06 0 0 0.024583 1.14784e-17 -0.0153843 
51.3499 -0.00916441 -3.44677 2.73644 8.69179e-06 0 0 0.024583 1.14784e-17 -0.0153843 
51.6947 -0.00916441 -3.44677 2.73644 1.0313e-05 0 0 0.024583 1.14784e-17 -0.0153843 
52.0384 -0.00916441 -3.44677 2.73644 1.2224e-05 0 0 0.024583 1.14784e-17 -0.0153843 
52.3812 -0.00916441 -3.44677 2.73644 1.44678e-05 0 0 0.024583 1.14784e-17 -0.0153843 
