# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
3.725 -0.00210838 0.00210838
3.75 -0.00214425 0.00214425
3.775 -0.00218058 0.00218058
3.8 -0.00221737 0.00221737
3.825 -0.00225464 0.00225464
3.85 -0.00229238 0.00229238
3.875 -0.00233063 0.00233063
3.9 -0.00236937 0.00236937
3.925 -0.00240863 0.00240863
3.95 -0.0024484 0.0024484
3.975 -0.00248872 0.00248872
4 -0.00252957 0.00252957
4.025 -0.00257098 0.00257098
4.05 -0.00261296 0.00261296
4.075 -0.00265551 0.00265551
4.1 -0.00269865 0.00269865
4.125 -0.00274239 0.00274239
4.15 -0.00278674 0.00278674
4.175 -0.00283171 0.00283171
4.2 -0.00287731 0.00287731
4.225 -0.00292356 0.00292356
4.25 -0.00297047 0.00297047
4.275 -0.00301804 0.00301804
4.3 -0.00306631 0.00306631
4.325 -0.00311526 0.00311526
4.35 -0.00316493 0.00316493
4.375 -0.00321531 0.00321531
4.4 -0.00326644 0.00326644
4.425 -0.00331831 0.00331831
4.45 -0.00337094 0.00337094
4.475 -0.00342436 0.00342436
4.5 -0.00347856 0.00347856
4.525 -0.00353357 0.00353357
4.55 -0.0035894 0.0035894
4.575 -0.00364607 0.00364607
4.6 -0.00370359 0.00370359
4.625 -0.00376197 0.00376197
4.65 -0.00382124 0.00382124
4.675 -0.00388141 0.00388141
4.7 -0.00394249 0.00394249
4.725 -0.00400451 0.00400451
4.75 -0.00406747 0.00406747
4.775 -0.0041314 0.0041314
4.8 -0.00419632 0.00419632
4.825 -0.00426224 0.00426224
4.85 -0.00432917 0.00432917
4.875 -0.00439715 0.00439715
4.9 -0.00446618 0.00446618
4.925 -0.00453629 0.00453629
4.95 -0.00460749 0.00460749
4.975 -0.00467981 0.00467981
5 -0.00475326 0.00475326
5.025 -0.00482787 0.00482787
5.05 -0.00490366 0.00490366
5.075 -0.00498065 0.00498065
5.1 -0.00505885 0.00505885
5.125 -0.0051383 0.0051383
5.15 -0.005219 0.005219
5.175 -0.005301 0.005301
5.2 -0.0053843 0.0053843
5.225 -0.00546894 0.00546894
5.25 -0.00555494 0.00555494
5.275 -0.00564231 0.00564231
5.3 -0.00573109 0.00573109
5.325 -0.0058213 0.0058213
5.35 -0.00591297 0.00591297
5.375 -0.00600612 0.00600612
5.4 -0.00610078 0.00610078
5.425 -0.00619698 0.00619698
5.45 -0.00629474 0.00629474
5.475 -0.00639409 0.00639409
5.5 -0.00649506 0.00649506
5.525 -0.00659768 0.00659768
5.55 -0.00670198 0.00670198
5.575 -0.00680799 0.00680799
5.6 -0.00691717 0.00691717
5.625 -0.00702671 0.00702671
5.65 -0.00713807 0.00713807
5.675 -0.00725125 0.00725125
5.7 -0.0073663 0.0073663
5.725 -0.00748325 0.00748325
5.75 -0.00760214 0.00760214
5.775 -0.007723 0.007723
5.8 -0.00784586 0.00784586
5.825 -0.00797092 0.00797092
5.85 -0.0080979 0.0080979
5.875 -0.008227 0.008227
5.9 -0.00835824 0.00835824
5.925 -0.00849168 0.00849168
5.95 -0.00862734 0.00862734
5.975 -0.00876527 0.00876527
6 -0.00890552 0.00890552
6.025 -0.00904811 0.00904811
6.05 -0.0091931 0.0091931
6.075 -0.00934053 0.00934053
6.1 -0.00949043 0.00949043
6.125 -0.00964286 0.00964286
6.15 -0.00979786 0.00979786
6.175 -0.00995547 0.00995547
6.2 -0.0101157 0.0101157
6.225 -0.0102787 0.0102787
6.25 -0.0104445 0.0104445
6.275 -0.010613 0.010613
6.3 -0.0107844 0.0107844
6.325 -0.0109587 0.0109587
6.35 -0.011136 0.011136
6.375 -0.0113163 0.0113163
6.4 -0.0114997 0.0114997
6.425 -0.0116862 0.0116862
6.45 -0.0118758 0.0118758
6.475 -0.0120687 0.0120687
6.5 -0.0122649 0.0122649
6.525 -0.0124645 0.0124645
6.55 -0.0126674 0.0126674
6.575 -0.0128739 0.0128739
6.6 -0.0130839 0.0130839
6.625 -0.0132974 0.0132974
6.65 -0.0135147 0.0135147
6.675 -0.0137357 0.0137357
6.7 -0.0139605 0.0139605
6.725 -0.0141891 0.0141891
6.75 -0.0144217 0.0144217
6.775 -0.0146583 0.0146583
6.8 -0.014899 0.014899
6.825 -0.0151438 0.0151438
6.85 -0.0153929 0.0153929
6.875 -0.0156462 0.0156462
6.9 -0.015904 0.015904
6.925 -0.0161662 0.0161662
6.95 -0.016433 0.016433
6.975 -0.0167044 0.0167044
7 -0.0169805 0.0169805
7.025 -0.0172614 0.0172614
7.05 -0.0175471 0.0175471
7.075 -0.0178379 0.0178379
7.1 -0.0181337 0.0181337
7.125 -0.0184346 0.0184346
7.15 -0.0187408 0.0187408
7.175 -0.0190509 0.0190509
7.2 -0.0193702 0.0193702
7.225 -0.0196927 0.0196927
7.25 -0.0200208 0.0200208
7.275 -0.0203547 0.0203547
7.3 -0.0206944 0.0206944
7.325 -0.0210401 0.0210401
7.35 -0.0213918 0.0213918
7.375 -0.0217497 0.0217497
7.4 -0.0221138 0.0221138
7.425 -0.0224844 0.0224844
7.45 -0.0228614 0.0228614
7.475 -0.0232451 0.0232451
7.5 -0.0236355 0.0236355
7.525 -0.0240328 0.0240328
7.55 -0.0244371 0.0244371
7.575 -0.0248484 0.0248484
7.6 -0.0252671 0.0252671
7.625 -0.0256931 0.0256931
7.65 -0.0261266 0.0261266
7.675 -0.0265677 0.0265677
7.7 -0.0270167 0.0270167
7.725 -0.0274736 0.0274736
7.75 -0.0279385 0.0279385
7.775 -0.0284117 0.0284117
7.8 -0.0288933 0.0288933
7.825 -0.0293833 0.0293833
7.85 -0.0298832 0.0298832
7.875 -0.0303909 0.0303909
7.9 -0.0309075 0.0309075
7.925 -0.0314333 0.0314333
7.95 -0.0319684 0.0319684
7.975 -0.0325129 0.0325129
8 -0.0330672 0.0330672
