# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 eCurrentDensity_x
# 17 eCurrentDensity_y
# 18 eCurrentDensity_z
# 19 hCurrentDensity_x
# 20 hCurrentDensity_y
# 21 hCurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z 
381.954 0.0148708 -3.85483 -4.08507e-05 -2.22244 1.26433e+18 9.15805e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.26512e-20 0 0 
389.404 0.01487 -3.85483 -4.16475e-05 -2.22275 1.26433e+18 9.26655e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.32022e-20 0 0 
396.805 0.0148692 -3.85483 -4.24391e-05 -2.22306 1.26433e+18 9.37745e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.37561e-20 0 0 
404.157 0.0148684 -3.85484 -4.32254e-05 -2.22337 1.26433e+18 9.4908e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.43129e-20 0 0 
411.461 0.0148676 -3.85484 -4.40065e-05 -2.22368 1.26433e+18 9.60663e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.48727e-20 0 0 
418.716 0.0148668 -3.85484 -4.47824e-05 -2.224 1.26433e+18 9.72499e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.54357e-20 0 0 
425.923 0.0148661 -3.85484 -4.55532e-05 -2.22432 1.26433e+18 9.84594e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.60018e-20 0 0 
433.082 0.0148653 -3.85484 -4.63189e-05 -2.22464 1.26433e+18 9.96953e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.65713e-20 0 0 
440.194 0.0148645 -3.85484 -4.70796e-05 -2.22497 1.26433e+18 1.00958e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.71441e-20 0 0 
447.259 0.0148638 -3.85484 -4.78352e-05 -2.2253 1.26433e+18 1.02248e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.77203e-20 0 0 
454.277 0.014863 -3.85484 -4.85858e-05 -2.22563 1.26433e+18 1.03566e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.83001e-20 0 0 
461.249 0.0148623 -3.85484 -4.93315e-05 -2.22597 1.26433e+18 1.04913e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.88836e-20 0 0 
468.175 0.0148615 -3.85484 -5.00722e-05 -2.2263 1.26433e+18 1.06288e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.94707e-20 0 0 
475.055 0.0148608 -3.85484 -5.0808e-05 -2.22664 1.26433e+18 1.07694e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.00616e-20 0 0 
481.889 0.0148601 -3.85484 -5.15389e-05 -2.22699 1.26433e+18 1.09129e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.06564e-20 0 0 
488.678 0.0148594 -3.85484 -5.22651e-05 -2.22733 1.26433e+18 1.10596e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.12552e-20 0 0 
495.423 0.0148586 -3.85484 -5.29864e-05 -2.22768 1.26433e+18 1.12094e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.1858e-20 0 0 
502.122 0.0148579 -3.85485 -5.37029e-05 -2.22803 1.26433e+18 1.13625e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.2465e-20 0 0 
508.778 0.0148572 -3.85485 -5.44147e-05 -2.22839 1.26433e+18 1.15188e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.30763e-20 0 0 
515.389 0.0148565 -3.85485 -5.51218e-05 -2.22874 1.26433e+18 1.16785e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.36919e-20 0 0 
521.956 0.0148558 -3.85485 -5.58242e-05 -2.2291 1.26433e+18 1.18417e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.43119e-20 0 0 
528.481 0.0148551 -3.85485 -5.6522e-05 -2.22946 1.26433e+18 1.20083e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.49365e-20 0 0 
534.962 0.0148544 -3.85485 -5.72152e-05 -2.22983 1.26433e+18 1.21786e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.55657e-20 0 0 
541.4 0.0148537 -3.85485 -5.79037e-05 -2.2302 1.26433e+18 1.23525e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.61996e-20 0 0 
547.795 0.014853 -3.85485 -5.85877e-05 -2.23057 1.26433e+18 1.25302e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.68384e-20 0 0 
554.149 0.0148524 -3.85485 -5.92672e-05 -2.23094 1.26433e+18 1.27117e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.74821e-20 0 0 
560.46 0.0148517 -3.85485 -5.99422e-05 -2.23131 1.26433e+18 1.28971e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.81308e-20 0 0 
566.729 0.014851 -3.85485 -6.06128e-05 -2.23169 1.26433e+18 1.30865e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.87847e-20 0 0 
572.957 0.0148503 -3.85485 -6.12789e-05 -2.23207 1.26433e+18 1.32801e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -4.94439e-20 0 0 
579.144 0.0148497 -3.85485 -6.19406e-05 -2.23245 1.26433e+18 1.34778e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -5.01084e-20 0 0 
