# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
32.0641 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
33.0661 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
34.0681 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
35.0701 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
36.0721 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
37.0741 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
38.0762 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
39.0782 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
40.0802 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
41.0822 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
42.0842 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
43.0862 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
44.0882 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
45.0902 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
46.0922 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
47.0942 0.759499 -0.759499 0 0 0 0 3.02428e-08 0 0 0 0 0 
48.0962 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
49.0982 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
50.1002 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
51.1022 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
52.1042 0.759499 -0.759499 0 0 0 0 3.02428e-08 0 0 0 0 0 
53.1062 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
54.1082 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
55.1102 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
56.1122 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
57.1142 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
58.1162 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
59.1182 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
60.1202 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
61.1222 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
62.1242 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
63.1263 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
64.1283 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
65.1303 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
66.1323 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
67.1343 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
68.1363 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
69.1383 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
70.1403 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
71.1423 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
72.1443 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
73.1463 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
74.1483 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
75.1503 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
76.1523 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
77.1543 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
78.1563 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
79.1583 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
80.1603 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
81.1623 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
82.1643 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
83.1663 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
84.1683 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
85.1703 0.759499 -0.759499 0 0 0 0 3.02428e-08 0 0 0 0 0 
86.1723 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
87.1743 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
88.1764 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
89.1784 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
90.1804 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
91.1824 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
92.1844 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
93.1864 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
94.1884 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
95.1904 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
96.1924 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
97.1944 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
98.1964 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
99.1984 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
100.2 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
101.202 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
102.204 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
103.206 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
104.208 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
105.21 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
106.212 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
107.214 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
108.216 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
109.218 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
110.22 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
111.222 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
112.224 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
113.226 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
114.228 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
115.23 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
116.232 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
117.234 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
118.236 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
119.238 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
120.24 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
121.242 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
122.244 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
