# ASCII 1D datafile generated by TiberCAD
# x LatticeTemp ThermalFlux_x ThermalFlux_y ThermalFlux_z HeatSource ThermCond_x ThermCond_y ThermCond_z 
-195.757 305.385 -80.1236 0 0 507.459 1.5 1.5 1.5 
-193.776 305.396 -80.0231 0 0 507.706 1.5 1.5 1.5 
-191.815 305.406 -79.9234 0 0 507.976 1.5 1.5 1.5 
-189.873 305.416 -79.8248 0 0 508.27 1.5 1.5 1.5 
-187.95 305.427 -79.727 0 0 508.59 1.5 1.5 1.5 
-186.046 305.437 -79.6301 0 0 508.939 1.5 1.5 1.5 
-184.161 305.447 -79.5342 0 0 509.318 1.5 1.5 1.5 
-182.295 305.457 -79.4391 0 0 509.73 1.5 1.5 1.5 
-180.448 305.466 -79.3449 0 0 510.176 1.5 1.5 1.5 
-178.618 305.476 -79.2515 0 0 510.661 1.5 1.5 1.5 
-176.807 305.486 -79.1589 0 0 511.185 1.5 1.5 1.5 
-175.014 305.495 -79.0672 0 0 511.753 1.5 1.5 1.5 
-173.238 305.505 -78.9763 0 0 512.367 1.5 1.5 1.5 
-171.481 305.514 -78.8862 0 0 513.03 1.5 1.5 1.5 
-169.74 305.523 -78.7968 0 0 513.746 1.5 1.5 1.5 
-168.017 305.532 -78.7082 0 0 514.518 1.5 1.5 1.5 
-166.311 305.541 -78.6204 0 0 515.35 1.5 1.5 1.5 
-164.622 305.55 -78.5333 0 0 516.245 1.5 1.5 1.5 
-162.949 305.559 -78.4468 0 0 517.209 1.5 1.5 1.5 
-161.294 305.567 -78.3611 0 0 518.244 1.5 1.5 1.5 
-159.654 305.576 -78.2761 0 0 519.356 1.5 1.5 1.5 
-158.031 305.584 -78.1917 0 0 520.549 1.5 1.5 1.5 
-156.424 305.593 -78.1079 0 0 521.828 1.5 1.5 1.5 
-154.833 305.601 -78.0248 0 0 523.198 1.5 1.5 1.5 
-153.258 305.609 -77.9422 0 0 524.665 1.5 1.5 1.5 
-151.698 305.617 -77.8603 0 0 526.234 1.5 1.5 1.5 
-150.154 305.625 -77.7789 0 0 527.911 1.5 1.5 1.5 
-148.625 305.633 -77.698 0 0 529.702 1.5 1.5 1.5 
-147.111 305.641 -77.6177 0 0 531.613 1.5 1.5 1.5 
-145.612 305.649 -77.5379 0 0 533.651 1.5 1.5 1.5 
-144.128 305.656 -77.4585 0 0 535.823 1.5 1.5 1.5 
-142.659 305.664 -77.3796 0 0 538.135 1.5 1.5 1.5 
-141.205 305.671 -77.3012 0 0 540.596 1.5 1.5 1.5 
-139.765 305.679 -77.2231 0 0 543.212 1.5 1.5 1.5 
-138.339 305.686 -77.1455 0 0 545.992 1.5 1.5 1.5 
-136.927 305.693 -77.0682 0 0 548.943 1.5 1.5 1.5 
-135.529 305.701 -76.9912 0 0 552.075 1.5 1.5 1.5 
-134.145 305.708 -76.9146 0 0 555.395 1.5 1.5 1.5 
-132.775 305.715 -76.8382 0 0 558.913 1.5 1.5 1.5 
-131.419 305.722 -76.7622 0 0 562.638 1.5 1.5 1.5 
-130.076 305.729 -76.6863 0 0 566.58 1.5 1.5 1.5 
-128.746 305.735 -76.6107 0 0 570.748 1.5 1.5 1.5 
-127.429 305.742 -76.5353 0 0 575.153 1.5 1.5 1.5 
-126.126 305.749 -76.46 0 0 579.804 1.5 1.5 1.5 
-124.835 305.755 -76.3849 0 0 584.713 1.5 1.5 1.5 
-123.557 305.762 -76.3098 0 0 589.89 1.5 1.5 1.5 
-122.292 305.768 -76.2348 0 0 595.347 1.5 1.5 1.5 
-121.039 305.775 -76.1599 0 0 601.096 1.5 1.5 1.5 
-119.799 305.781 -76.085 0 0 607.147 1.5 1.5 1.5 
-118.571 305.787 -76.01 0 0 613.514 1.5 1.5 1.5 
