# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
38.6081 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
38.991 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
39.3728 -0.00916441 -3.44677 2.73644 1.85e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
39.7534 -0.00916441 -3.44677 2.73644 1.84816e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
40.1328 -0.00916441 -3.44677 2.73644 1.85e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
40.5112 -0.00916441 -3.44677 2.73644 3.08272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
40.8884 -0.00916441 -3.44677 2.73644 3.08088e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
41.2644 -0.00916441 -3.44677 2.73644 3.70001e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
41.6394 -0.00916441 -3.44677 2.73644 4.93088e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
42.0132 -0.00916441 -3.44677 2.73644 6.16545e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
42.3859 -0.00916441 -3.44677 2.73644 7.39632e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
42.7575 -0.00916441 -3.44677 2.73644 8.63089e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
43.128 -0.00916441 -3.44677 2.73644 1.0479e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
43.4973 -0.00916441 -3.44677 2.73644 1.23291e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
43.8656 -0.00916441 -3.44677 2.73644 1.54118e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
44.2328 -0.00916441 -3.44677 2.73644 1.78754e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
44.5989 -0.00916441 -3.44677 2.73644 2.15772e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
