# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
-3.18182 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.36668e-13 -3.25682 -3.25682 0 -1.81167e-14 0 2.80543e-11 0 0 
-3.08081 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.36668e-13 -3.25682 -3.25682 0 -1.81167e-14 0 2.96128e-11 0 0 
-2.9798 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02918e-13 -3.25682 -3.25682 0 -1.81167e-14 0 3.11714e-11 0 0 
-2.87879 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -6.91669e-14 -3.25682 -3.25682 0 -1.81167e-14 0 3.273e-11 0 0 
-2.77778 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -8.03801e-14 -3.25682 -3.25682 0 -1.81167e-14 0 3.42885e-11 0 0 
-2.67677 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -8.03801e-14 -3.25682 -3.25682 0 -1.81167e-14 0 3.58471e-11 0 0 
-2.57576 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02918e-13 -3.25682 -3.25682 0 -1.81167e-14 0 3.74057e-11 0 0 
-2.47475 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.14131e-13 -3.25682 -3.25682 0 -1.81167e-14 0 3.89643e-11 0 0 
-2.37374 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.15934e-14 -3.25682 -3.25682 0 -1.81167e-14 0 4.05228e-11 0 0 
-2.27273 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.02807e-13 -3.25682 -3.25682 0 -1.81167e-14 0 4.20814e-11 0 0 
