# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-0.533855 0.042511 -1.0763 9.68611e-08 -0.600999 2.18097 1.11881 4.96051e+18 5.44964e+11 108.05 73.1554 0.00203397 0 0 0.174677 0 0 0.175247 0 0 -0.000569866 0 0 4.96051e+18 0 -8.18137e+20 1.81836e+20 2.72582e+16 -1e+21 
-0.522267 0.042511 -1.0763 9.92249e-08 -0.601088 2.18097 1.11881 4.96051e+18 5.46853e+11 108.05 73.1587 0.00203401 0 0 0.174677 0 0 0.175095 0 0 -0.000418025 0 0 4.96051e+18 0 -8.17506e+20 1.82467e+20 2.73526e+16 -1e+21 
-0.510887 0.042511 -1.0763 1.01544e-07 -0.601149 2.18097 1.11881 4.96051e+18 5.48143e+11 108.05 73.1616 0.00203405 0 0 0.174677 0 0 0.174946 0 0 -0.00026901 0 0 4.96051e+18 0 -8.17076e+20 1.82897e+20 2.74172e+16 -1e+21 
-0.499711 0.042511 -1.0763 1.0382e-07 -0.601183 2.18097 1.11881 4.96051e+18 5.48865e+11 108.05 73.1641 0.00203409 0 0 0.174677 0 0 0.1748 0 0 -0.000122732 0 0 4.96051e+18 0 -8.16835e+20 1.83138e+20 2.74533e+16 -1e+21 
-0.488737 0.042511 -1.0763 1.06053e-07 -0.601192 2.18097 1.11881 4.96051e+18 5.4905e+11 108.05 73.1649 0.00203413 0 0 0.174677 0 0 0.174656 0 0 2.08908e-05 0 0 4.96051e+18 0 -8.16773e+20 1.832e+20 2.74625e+16 -1e+21 
-0.477959 0.042511 -1.0763 1.08244e-07 -0.601176 2.18097 1.11881 4.96051e+18 5.48725e+11 108.05 73.1635 0.00203416 0 0 0.174677 0 0 0.174515 0 0 0.000161937 0 0 4.96051e+18 0 -8.16881e+20 1.83091e+20 2.74463e+16 -1e+21 
-0.467375 0.042511 -1.0763 1.10394e-07 -0.601138 2.18097 1.11881 4.96051e+18 5.47917e+11 108.05 73.161 0.0020342 0 0 0.174677 0 0 0.174377 0 0 0.000300482 0 0 4.96051e+18 0 -8.17151e+20 1.82822e+20 2.74059e+16 -1e+21 
-0.456981 0.042511 -1.0763 1.12504e-07 -0.601079 2.18097 1.11881 4.96051e+18 5.46653e+11 108.05 73.1583 0.00203424 0 0 0.174677 0 0 0.174241 0 0 0.000436594 0 0 4.96051e+18 0 -8.17573e+20 1.824e+20 2.73427e+16 -1e+21 
-0.446774 0.042511 -1.0763 1.14574e-07 -0.600998 2.18097 1.11881 4.96051e+18 5.44957e+11 108.05 73.1555 0.00203427 0 0 0.174677 0 0 0.174107 0 0 0.000570342 0 0 4.96051e+18 0 -8.18139e+20 1.81834e+20 2.72578e+16 -1e+21 
-0.436751 0.042511 -1.0763 1.16606e-07 -0.600898 2.18097 1.11881 4.96051e+18 5.42853e+11 108.05 73.1525 0.00203431 0 0 0.174677 0 0 0.173976 0 0 0.000701789 0 0 4.96051e+18 0 -8.18841e+20 1.81132e+20 2.71526e+16 -1e+21 
-0.426907 0.042511 -1.0763 1.18599e-07 -0.600779 2.18097 1.11881 4.96051e+18 5.40364e+11 108.05 73.1494 0.00203434 0 0 0.174677 0 0 0.173846 0 0 0.000830995 0 0 4.96051e+18 0 -8.19672e+20 1.80301e+20 2.70281e+16 -1e+21 
-0.41724 0.042511 -1.0763 1.20556e-07 -0.600643 2.18097 1.11881 4.96051e+18 5.3751e+11 108.05 73.1462 0.00203438 0 0 0.174677 0 0 0.173719 0 0 0.000958017 0 0 4.96051e+18 0 -8.20624e+20 1.79349e+20 2.68853e+16 -1e+21 
-0.407747 0.042511 -1.0763 1.22475e-07 -0.600488 2.18097 1.11881 4.96051e+18 5.34312e+11 108.05 73.1429 0.00203441 0 0 0.174677 0 0 0.173594 0 0 0.00108291 0 0 4.96051e+18 0 -8.21691e+20 1.78282e+20 2.67254e+16 -1e+21 
-0.398425 0.042511 -1.0763 1.24359e-07 -0.600317 2.18097 1.11881 4.96051e+18 5.30791e+11 108.05 73.1395 0.00203445 0 0 0.174677 0 0 0.173472 0 0 0.00120573 0 0 4.96051e+18 0 -8.22866e+20 1.77107e+20 2.65493e+16 -1e+21 
-0.38927 0.042511 -1.0763 1.26208e-07 -0.60013 2.18097 1.11881 4.96051e+18 5.26965e+11 108.05 73.136 0.00203448 0 0 0.174677 0 0 0.173351 0 0 0.00132652 0 0 4.96051e+18 0 -8.24143e+20 1.75831e+20 2.63579e+16 -1e+21 
-0.380279 0.042511 -1.0763 1.28022e-07 -0.599928 2.18097 1.11881 4.96051e+18 5.22852e+11 108.05 73.1324 0.00203451 0 0 0.174677 0 0 0.173232 0 0 0.00144533 0 0 4.96051e+18 0 -8.25516e+20 1.74458e+20 2.61522e+16 -1e+21 
