# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-28.8116 0.0537497 -1.8429 -0.0198328 -1.73854 1.02715e+18 2.92093e+17 3350.83 145.842 -73.3617 0 0 0 0 0 -569920 0 0 
-27.6221 0.0537738 -1.84287 -0.019949 -1.7391 1.02164e+18 2.9869e+17 3350.83 145.842 595.831 0 0 0 0 0 -569920 0 0 
-26.4588 0.0538879 -1.84276 -0.0200635 -1.73963 1.01274e+18 3.06282e+17 3350.83 145.842 1521.8 0 0 0 0 0 -569920 0 0 
-25.3213 0.0541212 -1.84253 -0.0201765 -1.74015 9.99389e+17 3.15277e+17 3350.83 145.842 2792.15 0 0 0 0 0 -569920 0 0 
-24.209 0.0545124 -1.84214 -0.0202888 -1.74065 9.80297e+17 3.26247e+17 3350.83 145.842 4519.71 0 0 0 0 0 -569920 0 0 
-23.1212 0.0551107 -1.84154 -0.020401 -1.74113 9.53959e+17 3.39992e+17 3350.83 145.842 6847.79 0 0 0 0 0 -569920 0 0 
-22.0574 0.0559793 -1.84067 -0.0205143 -1.74158 9.18721e+17 3.57652e+17 3350.83 145.842 9955.34 0 0 0 0 0 -569920 0 0 
-21.0172 0.057197 -1.83945 -0.02063 -1.742 8.72921e+17 3.80871e+17 3350.83 145.842 14062 0 0 0 0 0 -569920 0 0 
-20 0.0588617 -1.83779 -0.02075 -1.74239 8.15145e+17 4.12081e+17 3350.83 145.842 16365.7 0 0 0 0 0 -569920 0 0 
-20 0.0588617 -1.83779 -0.02075 -1.74239 8.15145e+17 4.12081e+17 6116.11 284.124 16416.9 0 0 0 0 0 -569920 0 0 
-19 0.0605034 -1.83614 -0.0208191 -1.74257 7.6333e+17 4.41941e+17 6116.11 284.124 14014 0 0 0 0 0 -569920 0 0 
-18 0.0616645 -1.83498 -0.0208922 -1.74274 7.27992e+17 4.65108e+17 6116.11 284.124 9646.68 0 0 0 0 0 -569920 0 0 
-17 0.0624328 -1.83422 -0.0209684 -1.74291 7.04757e+17 4.82036e+17 6116.11 284.124 6019.05 0 0 0 0 0 -569920 0 0 
-16 0.0628683 -1.83378 -0.0210465 -1.74307 6.90983e+17 4.93163e+17 6116.11 284.124 2879.18 0 0 0 0 0 -569920 0 0 
-15 0.0630086 -1.83364 -0.0211257 -1.74323 6.8518e+17 4.98821e+17 6116.11 284.124 1402.58 0 0 0 0 0 -569920 0 0 
-15 0.0630086 -1.83364 -0.0211257 -1.74323 6.8518e+17 4.98821e+17 6116.11 284.124 -1347.69 0 0 0 0 0 -569920 0 0 
-14.0223 0.0628768 -1.83377 -0.0212034 -1.74338 6.86694e+17 4.99449e+17 6116.11 284.124 -2713.79 0 0 0 0 0 -569920 0 0 
-13.1307 0.0625238 -1.83412 -0.0212738 -1.74352 6.94488e+17 4.96057e+17 6116.11 284.124 -5280.36 0 0 0 0 0 -569920 0 0 
-12.3175 0.0619964 -1.83465 -0.0213371 -1.74365 7.0759e+17 4.89793e+17 6116.11 284.124 -7807.35 0 0 0 0 0 -569920 0 0 
-11.5759 0.061328 -1.83532 -0.0213935 -1.74377 7.25548e+17 4.81713e+17 6116.11 284.124 -10364.4 0 0 0 0 0 -569920 0 0 
-10.8995 0.0605436 -1.8361 -0.0214436 -1.74388 7.48274e+17 4.72888e+17 6116.11 284.124 -12988.5 0 0 0 0 0 -569920 0 0 
-10.2827 0.0596641 -1.83698 -0.0214877 -1.74398 7.75998e+17 4.64492e+17 6116.11 284.124 -15694.7 0 0 0 0 0 -569920 0 0 
-9.72008 0.0587074 -1.83794 -0.0215264 -1.74408 8.09304e+17 4.5787e+17 6116.11 284.124 -18483.5 0 0 0 0 0 -569920 0 0 
