# angle P exx eyy ezz exz
65 -0.0125815 0.0167356 -0.0217791 -0.020437 -0.00235429
66 -0.0125902 0.0166255 -0.0217791 -0.0204155 -0.00244081
67 -0.0125561 0.0165115 -0.0217791 -0.0203946 -0.00251348
68 -0.0124783 0.0163942 -0.0217791 -0.0203744 -0.00257167
69 -0.0123557 0.0162742 -0.0217791 -0.020355 -0.00261479
70 -0.0121874 0.016152 -0.0217791 -0.0203363 -0.00264231
71 -0.0119728 0.0160284 -0.0217791 -0.0203183 -0.00265375
72 -0.0117111 0.0159039 -0.0217791 -0.0203012 -0.00264873
73 -0.0114021 0.0157794 -0.0217791 -0.0202848 -0.00262693
74 -0.0110456 0.0156557 -0.0217791 -0.0202693 -0.00258814
75 -0.0106417 0.0155335 -0.0217791 -0.0202546 -0.00253225
76 -0.0101907 0.0154136 -0.0217791 -0.0202408 -0.00245928
77 -0.00969332 0.015297 -0.0217791 -0.0202278 -0.00236938
78 -0.00915076 0.0151845 -0.0217791 -0.0202158 -0.00226285
79 -0.00856434 0.0150769 -0.0217791 -0.0202046 -0.00214011
80 -0.0079358 0.0149752 -0.0217791 -0.0201944 -0.00200177
81 -0.0072674 0.0148802 -0.0217791 -0.0201851 -0.00184857
82 -0.00656178 0.0147926 -0.0217791 -0.0201768 -0.00168144
83 -0.00582169 0.0147133 -0.0217791 -0.0201694 -0.00150144
84 -0.00505063 0.014643 -0.0217791 -0.020163 -0.00130979
85 -0.00425226 0.0145823 -0.0217791 -0.0201575 -0.00110787
86 -0.00343058 0.0145319 -0.0217791 -0.0201531 -0.000897161
87 -0.0025899 0.0144921 -0.0217791 -0.0201496 -0.000679279
88 -0.00173473 0.0144634 -0.0217791 -0.0201471 -0.00045593
89 -0.00086982 0.0144461 -0.0217791 -0.0201456 -0.000228893
90 -6.10904e-18 0.0144403 -0.0217791 -0.0201451 -1.60825e-18
