# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-10 0.282206 -1.61655 0 0 9.31452e+16 2.55403e-09 4361.09 218.347 59143.5 0 0 0 0 0 0 0 0 
-10 -0.03602 -1.4585 0 0 9.28052e+16 5.12589e-06 8066.54 350.526 55150.6 0 0 0 0 0 0 0 0 
-9.8995 -0.0354657 -1.45795 0 0 1.03631e+17 5.23698e-06 8066.54 350.526 55077.7 0 0 0 0 0 0 0 0 
-9.79899 -0.0349129 -1.4574 0 0 1.14825e+17 5.35017e-06 8066.54 350.526 54924.2 0 0 0 0 0 0 0 0 
-9.69849 -0.0343617 -1.45684 0 0 1.26344e+17 5.46547e-06 8066.54 350.526 54754.6 0 0 0 0 0 0 0 0 
-9.59799 -0.0338123 -1.45629 0 0 1.38144e+17 5.58286e-06 8066.54 350.526 54568.7 0 0 0 0 0 0 0 0 
-9.49749 -0.0332649 -1.45575 0 0 1.5018e+17 5.70235e-06 8066.54 350.526 54366 0 0 0 0 0 0 0 0 
-9.39698 -0.0327195 -1.4552 0 0 1.6241e+17 5.82391e-06 8066.54 350.526 54146.2 0 0 0 0 0 0 0 0 
-9.29648 -0.0321765 -1.45466 0 0 1.7479e+17 5.94754e-06 8066.54 350.526 53909.2 0 0 0 0 0 0 0 0 
-9.19598 -0.0316359 -1.45412 0 0 1.87277e+17 6.07321e-06 8066.54 350.526 53654.6 0 0 0 0 0 0 0 0 
-9.09548 -0.031098 -1.45358 0 0 1.9983e+17 6.2009e-06 8066.54 350.526 53382.5 0 0 0 0 0 0 0 0 
-8.99497 -0.0305629 -1.45305 0 0 2.12407e+17 6.33059e-06 8066.54 350.526 53092.6 0 0 0 0 0 0 0 0 
-8.89447 -0.0300308 -1.45251 0 0 2.24969e+17 6.46224e-06 8066.54 350.526 52785.1 0 0 0 0 0 0 0 0 
-8.79397 -0.0295019 -1.45198 0 0 2.37478e+17 6.59581e-06 8066.54 350.526 52460 0 0 0 0 0 0 0 0 
-8.69347 -0.0289763 -1.45146 0 0 2.49897e+17 6.73127e-06 8066.54 350.526 52117.3 0 0 0 0 0 0 0 0 
-8.59296 -0.0284543 -1.45094 0 0 2.62189e+17 6.86858e-06 8066.54 350.526 51757.3 0 0 0 0 0 0 0 0 
-8.49246 -0.027936 -1.45042 0 0 2.74323e+17 7.00768e-06 8066.54 350.526 51380.1 0 0 0 0 0 0 0 0 
-8.39196 -0.0274216 -1.4499 0 0 2.86265e+17 7.14853e-06 8066.54 350.526 50985.9 0 0 0 0 0 0 0 0 
-8.29146 -0.0269112 -1.44939 0 0 2.97986e+17 7.29106e-06 8066.54 350.526 50575.1 0 0 0 0 0 0 0 0 
-8.19095 -0.026405 -1.44889 0 0 3.09459e+17 7.43523e-06 8066.54 350.526 50148 0 0 0 0 0 0 0 0 
-8.09045 -0.0259032 -1.44839 0 0 3.20657e+17 7.58097e-06 8066.54 350.526 49705 0 0 0 0 0 0 0 0 
-7.98995 -0.0254059 -1.44789 0 0 3.31557e+17 7.7282e-06 8066.54 350.526 49246.4 0 0 0 0 0 0 0 0 
-7.88945 -0.0249133 -1.4474 0 0 3.42136e+17 7.87687e-06 8066.54 350.526 48772.7 0 0 0 0 0 0 0 0 
-7.78894 -0.0244255 -1.44691 0 0 3.52376e+17 8.0269e-06 8066.54 350.526 48284.4 0 0 0 0 0 0 0 0 
